latitude,longitude,station_name
-20.8000,-51.7167,TRES LAGOAS (EFNOB) 
-20.4453,-52.9189,AGUA CLARA 
-20.9514,-54.9717,SIDROLANDIA 
-20.4517,-54.6275,DNOS - 8.DRS 
-20.2294,-58.1667,BAIA NEGRA 
-21.3000,-40.9833,BARRA DO ITABAPOANA 
-21.4919,-41.6136,CARDOSO MOREIRA 
-21.2053,-41.9067,ITAPERUNA 
-21.6433,-41.8586,DOIS RIOS 
-21.6258,-41.9853,TRES IRMAOS 
-21.4167,-41.7000,ITALVA 
-21.0647,-41.3625,MIMOSO DO SUL 
-21.0367,-41.6522,SAO JOSE DO CALCADO 
-21.5422,-42.1806,SANTO ANTONIO DE PADUA 
-21.3833,-41.3500,MORRO DO COCO 
-21.7500,-41.3333,CAMPOS 
-21.2000,-41.9000,ITAPERUNA 
-21.3069,-42.8606,ASTOLFO DUTRA 
-21.3894,-42.7019,CATAGUASES 
-21.1486,-42.2156,PATROCINIO DO MURIAE 
-21.0503,-42.5156,FAZENDA UMBAUBAS 
-21.1333,-42.3500,MURIAE 
-21.6581,-42.3428,FAZENDA DA BARRA (PIRAPETINGA) 
-21.8708,-42.6403,PAQUEQUER 
-21.9525,-42.3558,ALDEIA 
-21.9500,-42.0167,SANTA MARIA MADALENA 
-21.9333,-42.6167,CARMO 
-21.1333,-42.3333,MURIAE 
-21.1167,-42.9333,UBA 
-21.8433,-42.5783,USINA ILHA DOS POMBOS 
-21.9233,-42.7764,SUPLICIO 
-21.1872,-43.9800,BARROSO 
-21.1928,-43.6139,VARGEM DO ENGENHO 
-21.2747,-43.8786,USINA BARBACENA 
-21.2167,-43.7667,BARBACENA 
-21.2789,-43.8200,CAMPOLIDE 
-21.3833,-42.6833,CATAGUASES 
-21.9500,-41.0833,MARRECAS (ILHA GRANDE) 
-21.7500,-41.3333,CAMPOS 
-21.9500,-42.0167,SANTA MARIA MADALENA 
-21.9333,-43.3500,COTEJIPE 
-21.9167,-43.3667,FAZENDA SAO JOSE 
-21.5942,-43.5053,CHAPEU D'UVAS 
-21.7783,-43.3253,JUIZ DE FORA - JUSANTE 
-21.9664,-43.3725,SOBRAJI 
-21.5500,-43.2500,CEL.PACHECO (AGUA LIMPA) 
