latitude,longitude,station_name
-20.3333,-40.2833,SAO TORQUATO (DNOS) 
-20.3000,-40.3333,VITORIA - BENTO FERREIRA 
-20.5156,-40.3636,PONTA DA FRUTA 
-20.6333,-40.7500,ALFREDO CHAVES 
-20.9128,-41.1950,ATILIO VIVACQUA 
-20.7736,-41.6817,GUACUI 
-20.7469,-41.4661,RIVE 
-20.6939,-41.9219,CAIANA 
-20.1081,-41.7283,DORES DO MANHUMIRIM 
-20.7019,-41.0164,JACIGUA (DNOS) 
-20.3458,-41.5375,IUNA 
-20.1433,-40.9753,GARRAFAO (DNOS) 
-20.8500,-41.1000,CACHOEIRO DO ITAPEMIRIM (DNOS) 
-19.1733,-56.7122,PARAISO 
-20.2964,-40.9339,SAO RAFAEL 
-20.3639,-40.6617,DOMINGOS MARTINS (DNOS) 
-20.5875,-40.9492,VILA NOVA MARAVILHA 
-20.5167,-40.5167,VITORIA 
-20.3333,-40.7167,SOIDO 
-20.3000,-40.6667,CORREGO DO GALO (DNOS) 
-20.3764,-40.4461,CANAA 
-20.3175,-40.6528,CORREGO DO GALO 
-20.4500,-41.4000,MUNIZ FREIRE (DNOS) 
-20.6858,-41.8461,DORES DO RIO PRETO 
-20.9447,-41.4008,FAZENDA MONTE ALEGRE 
-20.5406,-41.6656,IBITIRAMA 
-20.3228,-41.7042,SANTA CRUZ - CAPARAO 
-20.5283,-41.5114,ITAICI 
-20.3667,-41.0611,ARACE (FAZENDA MODELO) 
-20.6806,-41.3483,BURARAMA 
-20.0786,-41.1214,AFONSO CLAUDIO - MONTANTE 
-20.4333,-41.4833,TERRA CORRIDA (DNOS) 
-20.3667,-41.5333,IUNA 
-20.9667,-41.3500,MUQUI 
-20.9308,-41.8500,VARRE - SAI 
-20.4667,-41.4000,MUNIZ FREIRE 
-20.3167,-41.1667,VENDA NOVA 
-20.7400,-42.0239,CARANGOLA 
-20.7500,-42.8833,VICOSA 
-20.1036,-42.4400,RAUL SOARES - MONTANTE 
-20.4000,-42.9000,PONTE NOVA 
-20.2989,-42.4781,ABRE CAMPO 
-20.2261,-42.6500,RIO CASCA 
-20.4000,-42.9000,USINA PONTAL 
-20.7261,-42.9172,SERIQUITE 
-20.6825,-42.8067,SAO MIGUEL DO ANTA 
-20.2772,-42.3256,MATIPO 
-20.3847,-42.9028,PONTE NOVA - JUSANTE 
-20.7500,-42.8500,VICOSA 
-20.9633,-42.0372,PORCIUNCULA 
-20.3625,-43.1439,ACAIACA - JUSANTE 
-20.6906,-43.2994,PIRANGA 
-20.5219,-43.8300,CONGONHAS - LINIGRAFO 
-20.6703,-43.0881,PORTO FIRME 
-20.1667,-43.8167,AGUIAR MOREIRA 
-20.9558,-43.8008,CARANDAI 
-20.5167,-43.0167,USINA DA BRECHA 
-20.8475,-43.2419,BRAZ PIRES 
-20.2856,-43.0989,FAZENDA OCIDENTE 
-20.0167,-42.3500,SERRA AZUL 
-20.6833,-44.8167,OLIVEIRA 
-20.1647,-43.8919,REPRESA DAS CODORNAS (MMV) 
-20.9167,-42.0333,TOMBOS 
-20.3000,-41.1000,ALTO JUCU 
-20.3500,-43.2333,BICAS 
-20.7167,-43.3833,MARIANA 
